name,category,tags,description,price
Classic Cotton T-Shirt,Clothing,cotton tshirt casual,Soft cotton tee for everyday comfort,399
Slim Fit Jeans,Clothing,denim jeans slim,Trendy slim-fit jeans made from stretch denim,1199
Running Shoes,Footwear,sports running comfort,Lightweight running shoes with breathable mesh,2599
Leather Wallet,Accessories,leather wallet men,Durable wallet made from genuine leather,699
Wireless Earbuds,Electronics,audio wireless bluetooth,Noise-cancelling earbuds with deep bass,2499
Formal Shirt,Clothing,formal office shirt,Classic white shirt perfect for business meetings,899
Canvas Sneakers,Footwear,casual canvas sneakers,Comfortable canvas sneakers for daily use,1499
Smartwatch,Electronics,watch smart fitness,Fitness tracking smartwatch with AMOLED display,3999
Silk Scarf,Accessories,silk fashion women,Elegant silk scarf for women,499
Yoga Mat,Sports,yoga fitness mat,Non-slip yoga mat for exercise and stretching,799
